,url,start,rel,end
44,"Antonym,末,本",末,Antonym,本
45,"Antonym,本,末",本,Antonym,末
46,"Antonym,母牛,公牛",母牛,Antonym,公牛
47,"Antonym,没意思,有意思",没意思,Antonym,有意思
48,"Antonym,热,冷",热,Antonym,冷
49,"Antonym,热,冷",热,Antonym,冷
50,"Antonym,男性,女性",男性,Antonym,女性
51,"Antonym,白眼,青眼",白眼,Antonym,青眼
52,"Antonym,白色,黑色",白色,Antonym,黑色
53,"Antonym,真,假",真,Antonym,假
54,"Antonym,贵,便宜",贵,Antonym,便宜
55,"Antonym,买,卖",买,Antonym,卖
56,"Antonym,买,销售",买,Antonym,销售
57,"Antonym,卖,买",卖,Antonym,买
58,"Antonym,卖,购买",卖,Antonym,购买
59,"Antonym,贵,便宜",贵,Antonym,便宜
60,"Antonym,近,远",近,Antonym,远
61,"Antonym,进口,出口",进口,Antonym,出口
62,"Antonym,远,近",远,Antonym,近
63,"Antonym,逺,近",逺,Antonym,近
64,"Antonym,远,近",远,Antonym,近
65,"Antonym,错,不错",错,Antonym,不错
66,"Antonym,开,关",开,Antonym,关
67,"Antonym,阴,阳",阴,Antonym,阳
68,"Antonym,难,容易",难,Antonym,容易
69,"Antonym,青眼,白眼",青眼,Antonym,白眼
135602,"DerivedFrom,886,88",886,DerivedFrom,88
135603,"DerivedFrom,一一,一",一一,DerivedFrom,一
135604,"DerivedFrom,一下,一",一下,DerivedFrom,一
135605,"DerivedFrom,一下子,一",一下子,DerivedFrom,一
135606,"DerivedFrom,一二,一",一二,DerivedFrom,一
135607,"DerivedFrom,一些,一",一些,DerivedFrom,一
135608,"DerivedFrom,一代,一",一代,DerivedFrom,一
135609,"DerivedFrom,一共,一",一共,DerivedFrom,一
135610,"DerivedFrom,一再,一",一再,DerivedFrom,一
135611,"DerivedFrom,一切,一",一切,DerivedFrom,一
135612,"DerivedFrom,一刻,一",一刻,DerivedFrom,一
135613,"DerivedFrom,一半,一",一半,DerivedFrom,一
135614,"DerivedFrom,一口,一",一口,DerivedFrom,一
135615,"DerivedFrom,一号,一",一号,DerivedFrom,一
135616,"DerivedFrom,一同,一",一同,DerivedFrom,一
135617,"DerivedFrom,一向,一",一向,DerivedFrom,一
135618,"DerivedFrom,一天,一",一天,DerivedFrom,一
135619,"DerivedFrom,一如,一",一如,DerivedFrom,一
135620,"DerivedFrom,一定,一",一定,DerivedFrom,一
135621,"DerivedFrom,一家子,一",一家子,DerivedFrom,一
135622,"DerivedFrom,一度,一",一度,DerivedFrom,一
135623,"DerivedFrom,一律,一",一律,DerivedFrom,一
135624,"DerivedFrom,一心,一",一心,DerivedFrom,一
135625,"DerivedFrom,一手,一",一手,DerivedFrom,一
135626,"DerivedFrom,一斑,一",一斑,DerivedFrom,一
135627,"DerivedFrom,一新,一",一新,DerivedFrom,一
135628,"DerivedFrom,一样,一",一样,DerivedFrom,一
135629,"DerivedFrom,一氧化碳,一",一氧化碳,DerivedFrom,一
135630,"DerivedFrom,一流,一",一流,DerivedFrom,一
135631,"DerivedFrom,一清早,一",一清早,DerivedFrom,一
135632,"DerivedFrom,一点儿,一",一点儿,DerivedFrom,一
135633,"DerivedFrom,一生,一",一生,DerivedFrom,一
135634,"DerivedFrom,一直,一",一直,DerivedFrom,一
135635,"DerivedFrom,一瞬,一",一瞬,DerivedFrom,一
135636,"DerivedFrom,一石二鸟,一",一石二鸟,DerivedFrom,一
135637,"DerivedFrom,一神教,一",一神教,DerivedFrom,一
135638,"DerivedFrom,一致,一",一致,DerivedFrom,一
135639,"DerivedFrom,一般,一",一般,DerivedFrom,一
135640,"DerivedFrom,一色,一",一色,DerivedFrom,一
135641,"DerivedFrom,一行,一",一行,DerivedFrom,一
135642,"DerivedFrom,一起,一",一起,DerivedFrom,一
135643,"DerivedFrom,一路,一",一路,DerivedFrom,一
135644,"DerivedFrom,一路平安,一",一路平安,DerivedFrom,一
135645,"DerivedFrom,一身,一",一身,DerivedFrom,一
135646,"DerivedFrom,一连,一",一连,DerivedFrom,一
135647,"DerivedFrom,一道,一",一道,DerivedFrom,一
135648,"DerivedFrom,一面,一",一面,DerivedFrom,一
135649,"DerivedFrom,丁东,丁/n",丁东,DerivedFrom,丁/n
135650,"DerivedFrom,丁烷,丁/n",丁烷,DerivedFrom,丁/n
135651,"DerivedFrom,丁香,丁/n",丁香,DerivedFrom,丁/n
135652,"DerivedFrom,丁香花,丁/n",丁香花,DerivedFrom,丁/n
135653,"DerivedFrom,七月,七",七月,DerivedFrom,七
135654,"DerivedFrom,丈夫,丈/n",丈夫,DerivedFrom,丈/n
135655,"DerivedFrom,三月,三",三月,DerivedFrom,三
135656,"DerivedFrom,三角,三",三角,DerivedFrom,三
135657,"DerivedFrom,上帝,上/a",上帝,DerivedFrom,上/a
135658,"DerivedFrom,上界,上/a",上界,DerivedFrom,上/a
135659,"DerivedFrom,不久,久/r",不久,DerivedFrom,久/r
135660,"DerivedFrom,不大,大/a",不大,DerivedFrom,大/a
135661,"DerivedFrom,不足道,足/n",不足道,DerivedFrom,足/n
135662,"DerivedFrom,东京,京/n",东京,DerivedFrom,京/n
135663,"DerivedFrom,东南,南/n",东南,DerivedFrom,南/n
135664,"DerivedFrom,中学,学/v",中学,DerivedFrom,学/v
135665,"DerivedFrom,中文,文/n",中文,DerivedFrom,文/n
135666,"DerivedFrom,主人,人/n",主人,DerivedFrom,人/n
135667,"DerivedFrom,久久,久/r",久久,DerivedFrom,久/r
135668,"DerivedFrom,久之,久/r",久之,DerivedFrom,久/r
135669,"DerivedFrom,久坐,久/r",久坐,DerivedFrom,久/r
135670,"DerivedFrom,久留,久/r",久留,DerivedFrom,久/r
135671,"DerivedFrom,久病,久/r",久病,DerivedFrom,久/r
135672,"DerivedFrom,久等,久/r",久等,DerivedFrom,久/r
135673,"DerivedFrom,久违,久/r",久违,DerivedFrom,久/r
135674,"DerivedFrom,久远,久/r",久远,DerivedFrom,久/r
135675,"DerivedFrom,久长,久/r",久长,DerivedFrom,久/r
135676,"DerivedFrom,久阔,久/r",久阔,DerivedFrom,久/r
135677,"DerivedFrom,乙基,乙/n",乙基,DerivedFrom,乙/n
135678,"DerivedFrom,以太网路,乙/n",以太网路,DerivedFrom,乙/n
135679,"DerivedFrom,乙胺,乙/n",乙胺,DerivedFrom,乙/n
135680,"DerivedFrom,乙酰,乙/n",乙酰,DerivedFrom,乙/n
135681,"DerivedFrom,乙醇,乙/n",乙醇,DerivedFrom,乙/n
135682,"DerivedFrom,书名,书/n",书名,DerivedFrom,书/n
135683,"DerivedFrom,书店,书/n",书店,DerivedFrom,书/n
135684,"DerivedFrom,书橱,书/n",书橱,DerivedFrom,书/n
135685,"DerivedFrom,书法,书/n",书法,DerivedFrom,书/n
135686,"DerivedFrom,书签,书/n",书签,DerivedFrom,书/n
135687,"DerivedFrom,书籍,书/n",书籍,DerivedFrom,书/n
135688,"DerivedFrom,二五眼,二",二五眼,DerivedFrom,二
135689,"DerivedFrom,二八,二",二八,DerivedFrom,二
135690,"DerivedFrom,二副,二",二副,DerivedFrom,二
135691,"DerivedFrom,二十八宿,二",二十八宿,DerivedFrom,二
135692,"DerivedFrom,二婚,二",二婚,DerivedFrom,二
135693,"DerivedFrom,二尾子,二",二尾子,DerivedFrom,二
135694,"DerivedFrom,二弦,二",二弦,DerivedFrom,二
135695,"DerivedFrom,二心,二",二心,DerivedFrom,二
135696,"DerivedFrom,二愣子,二",二愣子,DerivedFrom,二
135697,"DerivedFrom,二房,二",二房,DerivedFrom,二
135698,"DerivedFrom,二手,二",二手,DerivedFrom,二
135699,"DerivedFrom,二手货,二",二手货,DerivedFrom,二
135700,"DerivedFrom,二把刀,二",二把刀,DerivedFrom,二
135701,"DerivedFrom,二指,二",二指,DerivedFrom,二
135702,"DerivedFrom,二极管,二",二极管,DerivedFrom,二
135703,"DerivedFrom,二次方程,二",二次方程,DerivedFrom,二
135704,"DerivedFrom,二氧化碳,二",二氧化碳,DerivedFrom,二
135705,"DerivedFrom,二水,二",二水,DerivedFrom,二
135706,"DerivedFrom,二流,二",二流,DerivedFrom,二
135707,"DerivedFrom,二流子,二",二流子,DerivedFrom,二
135708,"DerivedFrom,二百五,二",二百五,DerivedFrom,二
135709,"DerivedFrom,二等公民,二",二等公民,DerivedFrom,二
135710,"DerivedFrom,二者,二",二者,DerivedFrom,二
135711,"DerivedFrom,二胡,二",二胡,DerivedFrom,二
135712,"DerivedFrom,二郎腿,二",二郎腿,DerivedFrom,二
135713,"DerivedFrom,二重唱,二",二重唱,DerivedFrom,二
135714,"DerivedFrom,二重奏,二",二重奏,DerivedFrom,二
135715,"DerivedFrom,二重性,二",二重性,DerivedFrom,二
135716,"DerivedFrom,五味,五",五味,DerivedFrom,五
135717,"DerivedFrom,五官,五",五官,DerivedFrom,五
135718,"DerivedFrom,五彩,五",五彩,DerivedFrom,五
135719,"DerivedFrom,五指,五",五指,DerivedFrom,五
135720,"DerivedFrom,五更,五",五更,DerivedFrom,五
135721,"DerivedFrom,五月,五",五月,DerivedFrom,五
135722,"DerivedFrom,五花肉,五",五花肉,DerivedFrom,五
135723,"DerivedFrom,五行,五",五行,DerivedFrom,五
135724,"DerivedFrom,五角星,五",五角星,DerivedFrom,五
135725,"DerivedFrom,五边形,五",五边形,DerivedFrom,五
135726,"DerivedFrom,五金,五",五金,DerivedFrom,五
135727,"DerivedFrom,五香,五",五香,DerivedFrom,五
135728,"DerivedFrom,亚洲,亚/n",亚洲,DerivedFrom,亚/n
135729,"DerivedFrom,亚美尼亚,亚/n",亚美尼亚,DerivedFrom,亚/n
135730,"DerivedFrom,亚丁,丁/n",亚丁,DerivedFrom,丁/n
135731,"DerivedFrom,京城,京/n",京城,DerivedFrom,京/n
135732,"DerivedFrom,京族,京/n",京族,DerivedFrom,京/n
135733,"DerivedFrom,京畿,京/n",京畿,DerivedFrom,京/n
135734,"DerivedFrom,京胡,京/n",京胡,DerivedFrom,京/n
135735,"DerivedFrom,京都,京/n",京都,DerivedFrom,京/n
135736,"DerivedFrom,人丁,丁/n",人丁,DerivedFrom,丁/n
135737,"DerivedFrom,人丁,人/n",人丁,DerivedFrom,人/n
135738,"DerivedFrom,人上人,人/n",人上人,DerivedFrom,人/n
135739,"DerivedFrom,人世,人/n",人世,DerivedFrom,人/n
135740,"DerivedFrom,人中,人/n",人中,DerivedFrom,人/n
135741,"DerivedFrom,人事,人/n",人事,DerivedFrom,人/n
135742,"DerivedFrom,人人,人/n",人人,DerivedFrom,人/n
135743,"DerivedFrom,人们,人/n",人们,DerivedFrom,人/n
135744,"DerivedFrom,人像,人/n",人像,DerivedFrom,人/n
135745,"DerivedFrom,人参,人/n",人参,DerivedFrom,人/n
135746,"DerivedFrom,人口,人/n",人口,DerivedFrom,人/n
135747,"DerivedFrom,人员,人/n",人员,DerivedFrom,人/n
135748,"DerivedFrom,人和,人/n",人和,DerivedFrom,人/n
135749,"DerivedFrom,人均,人/n",人均,DerivedFrom,人/n
135750,"DerivedFrom,人士,人/n",人士,DerivedFrom,人/n
135751,"DerivedFrom,人家,人/n",人家,DerivedFrom,人/n
135752,"DerivedFrom,人寰,人/n",人寰,DerivedFrom,人/n
135753,"DerivedFrom,人尖子,人/n",人尖子,DerivedFrom,人/n
135754,"DerivedFrom,人山人海,人/n",人山人海,DerivedFrom,人/n
135755,"DerivedFrom,人工,人/n",人工,DerivedFrom,人/n
135756,"DerivedFrom,人工呼吸,人/n",人工呼吸,DerivedFrom,人/n
135757,"DerivedFrom,人性,人/n",人性,DerivedFrom,人/n
135758,"DerivedFrom,人情,人/n",人情,DerivedFrom,人/n
135759,"DerivedFrom,人手,人/n",人手,DerivedFrom,人/n
135760,"DerivedFrom,人手,手/n",人手,DerivedFrom,手/n
135761,"DerivedFrom,人才,人/n",人才,DerivedFrom,人/n
135762,"DerivedFrom,人文,人/n",人文,DerivedFrom,人/n
135763,"DerivedFrom,人权,人/n",人权,DerivedFrom,人/n
135764,"DerivedFrom,人杰地灵,人/n",人杰地灵,DerivedFrom,人/n
135765,"DerivedFrom,人格,人/n",人格,DerivedFrom,人/n
135766,"DerivedFrom,人格化,人/n",人格化,DerivedFrom,人/n
135767,"DerivedFrom,人次,人/n",人次,DerivedFrom,人/n
135768,"DerivedFrom,人民,人/n",人民,DerivedFrom,人/n
135769,"DerivedFrom,人民币,人/n",人民币,DerivedFrom,人/n
135770,"DerivedFrom,人海,人/n",人海,DerivedFrom,人/n
135771,"DerivedFrom,人潮,人/n",人潮,DerivedFrom,人/n
135772,"DerivedFrom,人物,人/n",人物,DerivedFrom,人/n
135773,"DerivedFrom,人犯,人/n",人犯,DerivedFrom,人/n
135774,"DerivedFrom,人生,人/n",人生,DerivedFrom,人/n
135775,"DerivedFrom,人类,人/n",人类,DerivedFrom,人/n
135776,"DerivedFrom,人精,人/n",人精,DerivedFrom,人/n
135777,"DerivedFrom,人行道,人/n",人行道,DerivedFrom,人/n
135778,"DerivedFrom,人质,人/n",人质,DerivedFrom,人/n
135779,"DerivedFrom,人身,人/n",人身,DerivedFrom,人/n
135780,"DerivedFrom,人造,人/n",人造,DerivedFrom,人/n
135781,"DerivedFrom,人道,人/n",人道,DerivedFrom,人/n
135782,"DerivedFrom,人防,人/n",人防,DerivedFrom,人/n
135783,"DerivedFrom,人类,人/n",人类,DerivedFrom,人/n
135784,"DerivedFrom,人马座,人/n",人马座,DerivedFrom,人/n
135785,"DerivedFrom,今日,日/n",今日,DerivedFrom,日/n
135786,"DerivedFrom,他们,们",他们,DerivedFrom,们
135787,"DerivedFrom,佛教,教/n",佛教,DerivedFrom,教/n
135788,"DerivedFrom,佛法僧,佛",佛法僧,DerivedFrom,佛
135789,"DerivedFrom,佛法僧,法",佛法僧,DerivedFrom,法
135790,"DerivedFrom,你们,们",你们,DerivedFrom,们
135791,"DerivedFrom,你们,你",你们,DerivedFrom,你
135792,"DerivedFrom,使满足,足/n",使满足,DerivedFrom,足/n
135793,"DerivedFrom,俄文,文/n",俄文,DerivedFrom,文/n
135794,"DerivedFrom,保加利亚,亚/n",保加利亚,DerivedFrom,亚/n
135795,"DerivedFrom,信风,风/n",信风,DerivedFrom,风/n
135796,"DerivedFrom,倒戈,戈/n",倒戈,DerivedFrom,戈/n
135797,"DerivedFrom,伟大,大/a",伟大,DerivedFrom,大/a
135798,"DerivedFrom,偌大,大/a",偌大,DerivedFrom,大/a
135799,"DerivedFrom,传教,教/v",传教,DerivedFrom,教/v
135800,"DerivedFrom,儒教,教/n",儒教,DerivedFrom,教/n
135801,"DerivedFrom,儿子,儿/n",儿子,DerivedFrom,儿/n
135802,"DerivedFrom,儿歌,儿/n",儿歌,DerivedFrom,儿/n
135803,"DerivedFrom,儿科,儿/n",儿科,DerivedFrom,儿/n
135804,"DerivedFrom,儿童,儿/n",儿童,DerivedFrom,儿/n
135805,"DerivedFrom,充足,足/n",充足,DerivedFrom,足/n
135806,"DerivedFrom,光大,大/a",光大,DerivedFrom,大/a
135807,"DerivedFrom,克罗地亚,亚/n",克罗地亚,DerivedFrom,亚/n
135808,"DerivedFrom,八卦掌,八卦/n",八卦掌,DerivedFrom,八卦/n
135809,"DerivedFrom,八方,方/n",八方,DerivedFrom,方/n
135810,"DerivedFrom,兵力,兵/n",兵力,DerivedFrom,兵/n
135811,"DerivedFrom,兵器,兵/n",兵器,DerivedFrom,兵/n
135812,"DerivedFrom,兵士,兵/n",兵士,DerivedFrom,兵/n
135813,"DerivedFrom,兵戈,戈/n",兵戈,DerivedFrom,戈/n
135814,"DerivedFrom,冈比亚,亚/n",冈比亚,DerivedFrom,亚/n
135815,"DerivedFrom,冥王星,王/n",冥王星,DerivedFrom,王/n
135816,"DerivedFrom,冰山,山/n",冰山,DerivedFrom,山/n
135817,"DerivedFrom,几内亚,亚/n",几内亚,DerivedFrom,亚/n
135818,"DerivedFrom,凯旋,凯/a",凯旋,DerivedFrom,凯/a
135819,"DerivedFrom,凯旋门,凯/a",凯旋门,DerivedFrom,凯/a
135820,"DerivedFrom,凯歌,凯/a",凯歌,DerivedFrom,凯/a
135821,"DerivedFrom,凯瑟琳,凯/a",凯瑟琳,DerivedFrom,凯/a
135822,"DerivedFrom,利比亚,亚/n",利比亚,DerivedFrom,亚/n
135823,"DerivedFrom,利比里亚,亚/n",利比里亚,DerivedFrom,亚/n
135824,"DerivedFrom,前不久,久/r",前不久,DerivedFrom,久/r
135825,"DerivedFrom,化学,学",化学,DerivedFrom,学
135826,"DerivedFrom,北京,北/n",北京,DerivedFrom,北/n
135827,"DerivedFrom,北平,北/n",北平,DerivedFrom,北/n
135828,"DerivedFrom,北斗星,北/n",北斗星,DerivedFrom,北/n
135829,"DerivedFrom,北方,方/n",北方,DerivedFrom,方/n
135830,"DerivedFrom,北瓜,北/n",北瓜,DerivedFrom,北/n
135831,"DerivedFrom,北约,北/n",北约,DerivedFrom,北/n
135832,"DerivedFrom,北美,北/n",北美,DerivedFrom,北/n
135833,"DerivedFrom,医学,学",医学,DerivedFrom,学
135834,"DerivedFrom,十一,十",十一,DerivedFrom,十
135835,"DerivedFrom,十一月,十",十一月,DerivedFrom,十
135836,"DerivedFrom,十万,十",十万,DerivedFrom,十
135837,"DerivedFrom,十二,十",十二,DerivedFrom,十
135838,"DerivedFrom,十亿,十",十亿,DerivedFrom,十
135839,"DerivedFrom,十位,十",十位,DerivedFrom,十
135840,"DerivedFrom,十分,十",十分,DerivedFrom,十
135841,"DerivedFrom,十四,四",十四,DerivedFrom,四
135842,"DerivedFrom,十字,十",十字,DerivedFrom,十
135843,"DerivedFrom,十字架,十",十字架,DerivedFrom,十
135844,"DerivedFrom,十足,足/n",十足,DerivedFrom,足/n
135845,"DerivedFrom,千足虫,足/n",千足虫,DerivedFrom,足/n
135846,"DerivedFrom,南下,南/n",南下,DerivedFrom,南/n
135847,"DerivedFrom,南亚,南/n",南亚,DerivedFrom,南/n
135848,"DerivedFrom,南京,南/n",南京,DerivedFrom,南/n
135849,"DerivedFrom,南充,南/n",南充,DerivedFrom,南/n
135850,"DerivedFrom,南北,南/n",南北,DerivedFrom,南/n
135851,"DerivedFrom,南半球,南/n",南半球,DerivedFrom,南/n
135852,"DerivedFrom,南回归线,南/n",南回归线,DerivedFrom,南/n
135853,"DerivedFrom,南天极,南/n",南天极,DerivedFrom,南/n
135854,"DerivedFrom,南斯拉夫,南/n",南斯拉夫,DerivedFrom,南/n
135855,"DerivedFrom,南方,南/n",南方,DerivedFrom,南/n
135856,"DerivedFrom,南极,南/n",南极,DerivedFrom,南/n
135857,"DerivedFrom,南欧,南/n",南欧,DerivedFrom,南/n
135858,"DerivedFrom,南洋,南/n",南洋,DerivedFrom,南/n
135859,"DerivedFrom,南瓜,南/n",南瓜,DerivedFrom,南/n
135860,"DerivedFrom,南美洲,南/n",南美洲,DerivedFrom,南/n
135861,"DerivedFrom,南胡,南/n",南胡,DerivedFrom,南/n
135862,"DerivedFrom,南部,南/n",南部,DerivedFrom,南/n
135863,"DerivedFrom,南非,南/n",南非,DerivedFrom,南/n
135864,"DerivedFrom,南面,南/n",南面,DerivedFrom,南/n
135865,"DerivedFrom,博大,大/a",博大,DerivedFrom,大/a
135866,"DerivedFrom,印度尼西亚,亚/n",印度尼西亚,DerivedFrom,亚/n
135867,"DerivedFrom,厄立特里亚,亚/n",厄立特里亚,DerivedFrom,亚/n
135868,"DerivedFrom,原子弹,原子/n",原子弹,DerivedFrom,原子/n
135869,"DerivedFrom,原子核,原子/n",原子核,DerivedFrom,原子/n
135870,"DerivedFrom,原子能,原子/n",原子能,DerivedFrom,原子/n
135871,"DerivedFrom,发音,音/n",发音,DerivedFrom,音/n
135872,"DerivedFrom,叙利亚,亚/n",叙利亚,DerivedFrom,亚/n
135873,"DerivedFrom,君士坦丁堡,丁/n",君士坦丁堡,DerivedFrom,丁/n
135874,"DerivedFrom,咖啡因,咖啡/n",咖啡因,DerivedFrom,咖啡/n
135875,"DerivedFrom,咖啡杯,咖啡/n",咖啡杯,DerivedFrom,咖啡/n
135876,"DerivedFrom,咖啡色,咖啡/n",咖啡色,DerivedFrom,咖啡/n
135877,"DerivedFrom,咖啡豆,咖啡/n",咖啡豆,DerivedFrom,咖啡/n
135878,"DerivedFrom,咖啡馆,咖啡/n",咖啡馆,DerivedFrom,咖啡/n
135879,"DerivedFrom,哈巴狗,狗/n",哈巴狗,DerivedFrom,狗/n
135880,"DerivedFrom,哥伦比亚,亚/n",哥伦比亚,DerivedFrom,亚/n
135881,"DerivedFrom,哲学,学",哲学,DerivedFrom,学
135882,"DerivedFrom,商船,船/n",商船,DerivedFrom,船/n
135883,"DerivedFrom,囚犯,囚/n",囚犯,DerivedFrom,囚/n
135884,"DerivedFrom,囚禁,囚/n",囚禁,DerivedFrom,囚/n
135885,"DerivedFrom,四伏,四",四伏,DerivedFrom,四
135886,"DerivedFrom,四十,四",四十,DerivedFrom,四
135887,"DerivedFrom,四国,四",四国,DerivedFrom,四
135888,"DerivedFrom,四围,四",四围,DerivedFrom,四
135889,"DerivedFrom,四壁,四",四壁,DerivedFrom,四
135890,"DerivedFrom,四季,四",四季,DerivedFrom,四
135891,"DerivedFrom,四川,四",四川,DerivedFrom,四
135892,"DerivedFrom,四德,四",四德,DerivedFrom,四
135893,"DerivedFrom,四散,四",四散,DerivedFrom,四
135894,"DerivedFrom,四方,四",四方,DerivedFrom,四
135895,"DerivedFrom,四时,四",四时,DerivedFrom,四
135896,"DerivedFrom,四月,四",四月,DerivedFrom,四
135897,"DerivedFrom,四海,四",四海,DerivedFrom,四
135898,"DerivedFrom,四维,四",四维,DerivedFrom,四
135899,"DerivedFrom,四声,四",四声,DerivedFrom,四
135900,"DerivedFrom,四肢,四",四肢,DerivedFrom,四
135901,"DerivedFrom,四胡,四",四胡,DerivedFrom,四
135902,"DerivedFrom,四胡,胡",四胡,DerivedFrom,胡
135903,"DerivedFrom,四处,四",四处,DerivedFrom,四
135904,"DerivedFrom,四诊,四",四诊,DerivedFrom,四
135905,"DerivedFrom,四起,四",四起,DerivedFrom,四
135906,"DerivedFrom,四边,四",四边,DerivedFrom,四
135907,"DerivedFrom,四面,四",四面,DerivedFrom,四
135908,"DerivedFrom,四体,四",四体,DerivedFrom,四
135909,"DerivedFrom,四点,四",四点,DerivedFrom,四
135910,"DerivedFrom,国会,国/n",国会,DerivedFrom,国/n
135911,"DerivedFrom,国内,国/n",国内,DerivedFrom,国/n
135912,"DerivedFrom,国境,国/n",国境,DerivedFrom,国/n
135913,"DerivedFrom,国家,国/n",国家,DerivedFrom,国/n
135914,"DerivedFrom,国庆,国/n",国庆,DerivedFrom,国/n
135915,"DerivedFrom,国庆节,国/n",国庆节,DerivedFrom,国/n
135916,"DerivedFrom,国旗,国/n",国旗,DerivedFrom,国/n
135917,"DerivedFrom,国歌,国/n",国歌,DerivedFrom,国/n
135918,"DerivedFrom,国语,国/n",国语,DerivedFrom,国/n
135919,"DerivedFrom,国际,国/n",国际,DerivedFrom,国/n
135920,"DerivedFrom,国际歌,国/n",国际歌,DerivedFrom,国/n
135921,"DerivedFrom,国际法,国/n",国际法,DerivedFrom,国/n
135922,"DerivedFrom,国际联盟,国/n",国际联盟,DerivedFrom,国/n
135923,"DerivedFrom,国际象棋,国/n",国际象棋,DerivedFrom,国/n
135924,"DerivedFrom,国际音标,国/n",国际音标,DerivedFrom,国/n
135925,"DerivedFrom,土狗,狗/n",土狗,DerivedFrom,狗/n
135926,"DerivedFrom,圣卢西亚,亚/n",圣卢西亚,DerivedFrom,亚/n
135927,"DerivedFrom,坦桑尼亚,亚/n",坦桑尼亚,DerivedFrom,亚/n
135928,"DerivedFrom,埃及人,埃及/n",埃及人,DerivedFrom,埃及/n
135929,"DerivedFrom,埃塞俄比亚,亚/n",埃塞俄比亚,DerivedFrom,亚/n
135930,"DerivedFrom,基本,本/n",基本,DerivedFrom,本/n
135931,"DerivedFrom,增大,大/a",增大,DerivedFrom,大/a
135932,"DerivedFrom,墨尔本,本/n",墨尔本,DerivedFrom,本/n
135933,"DerivedFrom,壮大,大/a",壮大,DerivedFrom,大/a
135934,"DerivedFrom,外国,国/n",外国,DerivedFrom,国/n
135935,"DerivedFrom,外国人,人/n",外国人,DerivedFrom,人/n
135936,"DerivedFrom,外国人,国/n",外国人,DerivedFrom,国/n
135937,"DerivedFrom,多久,久/r",多久,DerivedFrom,久/r
135938,"DerivedFrom,多大,大/a",多大,DerivedFrom,大/a
135939,"DerivedFrom,大乱,大/a",大乱,DerivedFrom,大/a
135940,"DerivedFrom,大事,大/a",大事,DerivedFrom,大/a
135941,"DerivedFrom,大亨,大/a",大亨,DerivedFrom,大/a
135942,"DerivedFrom,大人,人/n",大人,DerivedFrom,人/n
135943,"DerivedFrom,大人,大/a",大人,DerivedFrom,大/a
135944,"DerivedFrom,大仁,大/a",大仁,DerivedFrom,大/a
135945,"DerivedFrom,大仙,大/a",大仙,DerivedFrom,大/a
135946,"DerivedFrom,大伯,大/a",大伯,DerivedFrom,大/a
135947,"DerivedFrom,大作,大/a",大作,DerivedFrom,大/a
135948,"DerivedFrom,大使,大/a",大使,DerivedFrom,大/a
135949,"DerivedFrom,大便,大/a",大便,DerivedFrom,大/a
135950,"DerivedFrom,大修,大/a",大修,DerivedFrom,大/a
135951,"DerivedFrom,大内,大/a",大内,DerivedFrom,大/a
135952,"DerivedFrom,大公,大/a",大公,DerivedFrom,大/a
135953,"DerivedFrom,大兵,大/a",大兵,DerivedFrom,大/a
135954,"DerivedFrom,大凡,大/a",大凡,DerivedFrom,大/a
